paperid	itemid	ksh	filename	score	papername	itemname
1	1	311101025	0311101025_PAPER-934712-QT-742440_QT-742440ans.mp3	18	A	t1
1	1	310201356	0310201356_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	310201363	0310201363_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101034	0311101034_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	310201378	0310201378_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	310202014	0310202014_PAPER-934712-QT-742440_QT-742440ans.mp3	9	A	t1
1	1	310202002	0310202002_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101009	0311101009_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	311101031	0311101031_PAPER-934712-QT-742440_QT-742440ans.mp3	18	A	t1
1	1	310201369	0310201369_PAPER-934712-QT-742440_QT-742440ans.mp3	17	A	t1
1	1	311101006	0311101006_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101000	0311101000_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	310201359	0310201359_PAPER-934712-QT-742440_QT-742440ans.mp3	17	A	t1
1	1	310201366	0310201366_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	310201384	0310201384_PAPER-934712-QT-742440_QT-742440ans.mp3	12	A	t1
1	1	310201372	0310201372_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	311101019	0311101019_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	310202007	0310202007_PAPER-934712-QT-742440_QT-742440ans.mp3	11	A	t1
1	1	311101028	0311101028_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	310201381	0310201381_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101003	0311101003_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	311101012	0311101012_PAPER-934712-QT-742440_QT-742440ans.mp3	18	A	t1
1	1	310201375	0310201375_PAPER-934712-QT-742440_QT-742440ans.mp3	10	A	t1
1	1	311101022	0311101022_PAPER-934712-QT-742440_QT-742440ans.mp3	13	A	t1
1	1	310201196	0310201196_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	310201208	0310201208_PAPER-934712-QT-742440_QT-742440ans.mp3	8	A	t1
1	1	310201210	0310201210_PAPER-934712-QT-742440_QT-742440ans.mp3	2	A	t1
1	1	310201213	0310201213_PAPER-934712-QT-742440_QT-742440ans.mp3	6	A	t1
1	1	310201218	0310201218_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	310201223	0310201223_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	310201228	0310201228_PAPER-934712-QT-742440_QT-742440ans.mp3	12	A	t1
1	1	310201234	0310201234_PAPER-934712-QT-742440_QT-742440ans.mp3	10	A	t1
1	1	310201245	0310201245_PAPER-934712-QT-742440_QT-742440ans.mp3	10	A	t1
1	1	310201259	0310201259_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	311101051	0311101051_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	311101072	0311101072_PAPER-934712-QT-742440_QT-742440ans.mp3	12	A	t1
1	1	311101113	0311101113_PAPER-934712-QT-742440_QT-742440ans.mp3	18	A	t1
1	1	311102033	0311102033_PAPER-934712-QT-742440_QT-742440ans.mp3	12	A	t1
1	1	311102026	0311102026_PAPER-934712-QT-742440_QT-742440ans.mp3	13	A	t1
1	1	311102061	0311102061_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	310201318	0310201318_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	310201324	0310201324_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	310201330	0310201330_PAPER-934712-QT-742440_QT-742440ans.mp3	17	A	t1
1	1	310201337	0310201337_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	310201352	0310201352_PAPER-934712-QT-742440_QT-742440ans.mp3	18	A	t1
1	1	310201354	0310201354_PAPER-934712-QT-742440_QT-742440ans.mp3	17	A	t1
1	1	311101016	0311101016_PAPER-934712-QT-742440_QT-742440ans.mp3	18	A	t1
1	1	311101057	0311101057_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101080	0311101080_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101091	0311101091_PAPER-934712-QT-742440_QT-742440ans.mp3	13	A	t1
1	1	311101100	0311101100_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101109	0311101109_PAPER-934712-QT-742440_QT-742440ans.mp3	13	A	t1
1	1	311101125	0311101125_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101131	0311101131_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311101140	0311101140_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	311101145	0311101145_PAPER-934712-QT-742440_QT-742440ans.mp3	13	A	t1
1	1	311101149	0311101149_PAPER-934712-QT-742440_QT-742440ans.mp3	13	A	t1
1	1	311102006	0311102006_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311102010	0311102010_PAPER-934712-QT-742440_QT-742440ans.mp3	13	A	t1
1	1	311102020	0311102020_PAPER-934712-QT-742440_QT-742440ans.mp3	12	A	t1
1	1	311102038	0311102038_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	311102045	0311102045_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311102050	0311102050_PAPER-934712-QT-742440_QT-742440ans.mp3	10	A	t1
1	1	311102055	0311102055_PAPER-934712-QT-742440_QT-742440ans.mp3	8	A	t1
1	1	311102074	0311102074_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	311102084	0311102084_PAPER-934712-QT-742440_QT-742440ans.mp3	18	A	t1
1	1	311102088	0311102088_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	311102094	0311102094_PAPER-934712-QT-742440_QT-742440ans.mp3	12	A	t1
1	1	311102101	0311102101_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311102104	0311102104_PAPER-934712-QT-742440_QT-742440ans.mp3	12	A	t1
1	1	311102115	0311102115_PAPER-934712-QT-742440_QT-742440ans.mp3	16	A	t1
1	1	311102131	0311102131_PAPER-934712-QT-742440_QT-742440ans.mp3	9	A	t1
1	1	311102139	0311102139_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
1	1	311102164	0311102164_PAPER-934712-QT-742440_QT-742440ans.mp3	14	A	t1
1	1	311102171	0311102171_PAPER-934712-QT-742440_QT-742440ans.mp3	15	A	t1
